ORDER_ID,CONTAINER_ID,SKU_ID
1,0,158895
1,0,158895
1,0,158895
1,1,24971
1,1,24971
1,1,24971
1,1,196774
1,1,196774
1,1,196774
1,1,196774
1,1,196774
1,2,214988
1,2,32928
1,2,32928
1,3,175929
1,3,175929
1,3,175929
1,3,175929
1,3,175929
1,3,168370
1,3,168370
1,3,168370
1,3,168370
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,97266
2,4,56670
2,4,56670
2,4,56670
2,4,56670
2,4,56670
2,4,56670
2,5,210642
2,5,210642
2,5,210642
2,5,85839
2,5,85839
2,5,179317
2,6,210642
2,6,210642
2,6,35379
2,6,35379
2,6,35379
2,6,35379
2,6,35379
2,6,176636
2,7,35379
2,7,35379
2,7,35379
2,7,85839
2,7,85839
2,7,85839
2,7,85839
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,192723
2,7,176636
2,7,193456
2,7,193456
2,7,193456
2,8,23970
2,8,23970
2,8,23970
2,8,23970
2,8,23970
2,8,23970
2,8,23970
2,8,23970
2,8,145079
2,8,145079
2,8,145079
2,8,145079
2,8,48048
2,8,48048
2,8,48048
2,8,48048
2,8,48048
2,8,48048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,47048
2,9,155166
2,9,155166
2,9,155166
2,9,155166
2,9,136212
2,9,136212
2,9,136212
2,9,136212
2,9,136212
2,9,136212
2,9,136212
2,9,136212
2,9,136212
2,9,136212
3,10,196827
3,10,29663
3,10,29663
3,10,29663
3,10,29663
3,10,29663
3,10,29663
3,11,196827
3,12,196827
3,13,196827
3,14,196827
3,15,196827
3,16,196827
3,17,196827
3,18,196827
3,19,193865
3,19,193865
3,19,193865
3,19,193865
3,19,173164
3,19,173164
3,19,173164
3,19,173164
3,19,173164
3,19,173164
3,19,91766
3,19,49432
3,19,49432
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,72316
3,19,113138
3,19,113138
3,19,113138
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,19,211755
3,20,90350
3,20,90350
3,20,90350
3,20,90350
3,20,90350
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,122719
3,20,24219
3,20,24219
3,20,27858
3,20,27858
3,20,27858
3,20,27858
3,21,82320
3,21,82320
3,21,82320
3,21,82320
3,21,82320
3,21,82320
3,21,82320
3,21,3104
3,21,3104
3,21,3104
4,22,212299
4,22,212299
4,22,212299
4,22,212299
4,22,212299
4,22,212299
4,22,212299
4,22,212299
4,22,4
4,22,4
4,22,123147
4,22,42844
4,22,42844
4,22,42844
4,22,42844
4,22,42844
4,22,42844
4,22,42844
4,22,42844
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,213847
4,22,174044
4,22,174044
4,22,174044
4,22,174044
4,22,174044
4,22,174044
4,22,174044
4,22,174044
4,22,174044
4,23,174044
4,24,24813
4,24,24813
4,24,24813
4,24,24813
4,24,24813
4,24,24813
4,24,24813
4,24,24813
4,24,24813
4,24,185412
4,24,185412
4,24,185412
4,24,185412
4,24,185412
4,24,185412
4,24,185412
4,24,185412
4,24,178650
4,24,178650
4,24,178650
4,24,178650
4,24,178650
4,24,178650
4,24,178650
4,24,178650
4,25,175096
4,25,175096
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,138512
4,25,1390
4,25,1390
4,25,127926
4,25,127926
4,25,127926
4,25,127926
4,25,127926
4,25,127926
4,25,127926
4,25,127926
4,25,127926
4,26,214672
4,26,214672
4,26,214672
4,26,214672
4,26,214672
4,26,214672
4,26,214672
4,26,214672
4,26,63656
4,26,63656
4,26,63656
4,26,63656
4,26,63656
4,26,63656
4,26,63656
4,26,63656
4,26,63656
4,26,189220
4,26,189220
4,26,189220
4,26,189220
4,26,62740
4,26,62740
4,27,63656
4,27,189220
4,27,189220
4,27,189220
4,27,189220
